,Type,Title,Location,Bedrooms,Bathrooms,Space,Price
5336,Apartment,semi furnished Studio for sale The Village,"The Village, South Investors Area, New Cairo City, Cairo",NaN,1 bathroom,90 sqm,"2,200,000 EGP"
5337,Chalet,Chalet With Garden115m With Credit At Silver Sands,"Silver Sands, Qesm Marsa Matrouh, North Coast",3 bedrooms,3 bathrooms,173 sqm,"2,259,800 EGP"
5338,Villa,amazing Villa for sale at Il Bosco 5% Downpayment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",6 bedrooms,5 bathrooms,300 sqm,"386,000 EGP"
5339,Townhouse,Town house for sale 160 m in compound Al Burouj,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3 bedrooms,3 bathrooms,160 sqm,"4,032,548 EGP"
5340,Chalet,Garden Senior Chalet | Hacienda bay | Fully Finish,"Hacienda Bay, Sidi Abdel Rahman, North Coast",3 bedrooms,4 bathrooms,200 sqm,"4,650,000 EGP"
5341,Apartment,Club view - green spaces - international schools,"Al Hilton St., Smouha, Hay Sharq, Alexandria",2 bedrooms,1 bathroom,114 sqm,"2,190,938 EGP"
5342,Penthouse,For Sale Penthouse in a Good Location in Eastown,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,291 sqm,"6,750,000 EGP"
5343,Twin House,Twin house for sale first row in Telal Sokhna,"Telal Al Sokhna, Al Ain Al Sokhna, Suez",3 bedrooms,3 bathrooms,180 sqm,"4,700,000 EGP"
5344,Chalet,1st Row Golf Furnisher Chalet For Sale In Hacienda,"Hacienda Bay, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,227 sqm,"6,000,000 EGP"
5345,Chalet,Chalet for sale in Mountain View Ras el Hikma,"Mountain View, Ras Al Hekma, North Coast",2 bedrooms,2 bathrooms,83 sqm,"2,200,000 EGP"
5346,Villa,Villa for sale at palm hills golf extension .,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",4 bedrooms,4 bathrooms,350 sqm,"9,000,000 EGP"
5347,Apartment,Apartment For Sale in Maadi Degla,"Degla Square, Degla, Hay El Maadi, Cairo",2 bedrooms,2 bathrooms,160 sqm,"2,500,000 EGP"
5348,Apartment,Hot deal apartment 186m under market price_ Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,186 sqm,"5,800,000 EGP"
5349,Townhouse,Townhouse 185 m for sale @ 8 years Porto October,"Porto October, Green Belt, 6 October City, Giza",3 bedrooms,3 bathrooms,105 sqm,"5,200,000 EGP"
5350,Townhouse,Townhouse 185 m for sale @ 8 years Porto October,"Porto October, Green Belt, 6 October City, Giza",3 bedrooms,3 bathrooms,105 sqm,"5,200,000 EGP"
5351,Chalet,Catchy Chalet With Private Garden in Greek |3 Beds,"Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,183 sqm,"9,200,000 EGP"
