,Type,Title,Location,Bedrooms,Bathrooms,Space,Price
120,Twin House,Twinhouse Corner Prime Location Westridge New Giza,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",3 bathrooms,340 sqm,,"7,350,000 EGP"
121,Chalet,Chalet 75m Ready Marina View Long Installment,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,75 sqm,"4,350,000 EGP"
122,Villa,Standalone villa for sale in Hacienda Bay,"Hacienda, North Coast",7 bedrooms,6 bathrooms,995 sqm,"13,645,000 EGP"
123,Apartment,Book Now Your Apartment In The New Capital DP 10%,"R7, New Capital City, Cairo",3 bedrooms,2 bathrooms,136 sqm,"1,468,800 EGP"
124,Villa,"Villa for sale, first row, Swan Lake, North Coast","Swan Lake, Qesm Ad Dabaah, North Coast",8 bedrooms,8 bathrooms,"1,790 sqm","10,500,000 EGP"
125,Apartment,V.G.K. Palm Hills 174 m - Hot unit,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,174 sqm,"2,750,000 EGP"
126,Townhouse,Own Town house Corner 250m in Hyde park with inst,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,250 sqm,"5,800,000 EGP"
127,Apartment,Apartment with private garden in Fifth Square,"Fifth Square, North Investors Area, New Cairo City, Cairo",3 bedrooms,2 bathrooms,138 sqm,"2,900,000 EGP"
128,Villa,For Sale IVilla garden 287m at MVHP semi finished,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,3 bathrooms,287 sqm,"5,700,000 EGP"
129,Chalet,June by Sodic Great Opportunity Chalet Sea View,"June, Ras Al Hekma, North Coast",3 bedrooms,2 bathrooms,138 sqm,"6,200,000 EGP"
130,Apartment,"3 rooms|550,000 down payment|4 years installment|","Cleopatra Palace, 5th District, Shorouk City, Cairo",3 bedrooms,3 bathrooms,185 sqm,"550,000 EGP"
131,Apartment,Apartment 3BR with lowest price for sale at Sarai,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3 bedrooms,3 bathrooms,164 sqm,"1,275,000 EGP"
132,Villa,Villa | verona | prime location,"Marassi, Sidi Abdel Rahman, North Coast",5 bedrooms,5 bathrooms,600 sqm,"26,000,000 EGP"
133,Chalet,Chalet direct on lagoon lowest price in swan lake,"Swan Lake, Qesm Ad Dabaah, North Coast",3 bedrooms,3 bathrooms,220 sqm,"6,000,000 EGP"
134,Apartment,Apartment 165M Ready To Move ON 9 Yrs In MV,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,2 bathrooms,164 sqm,"1,200,000 EGP"
135,Chalet,Best chalet for sale at marina marassi direct pool,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,72 sqm,"4,700,000 EGP"
136,Twin House,Twinhouse for sale at Lake West 2 Zayed City,"Lake West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",5 bathrooms,257 sqm,,"5,300,000 EGP"
137,Chalet,chalet with Down payment in Fouka Bay North Coast,"Fouka Bay, Qesm Marsa Matrouh, North Coast",3 bedrooms,2 bathrooms,190 sqm,"3,269,000 EGP"
138,Chalet,Chalet 2 Bedrooms Direct to Lake Marina View,"Marassi, Sidi Abdel Rahman, North Coast",2 bedrooms,2 bathrooms,140 sqm,"3,915,000 EGP"
139,Twin House,Twinhouse for sale in Layan Sabour Prime Location,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bathrooms,285 sqm,,"6,750,000 EGP"
140,Apartment,Apartment 175m for sale in Obour City,"Al Thaqafa Square, 9th District, Obour City, Qalyubia",3 bedrooms,2 bathrooms,175 sqm,"1,450,000 EGP"
141,Chalet,Senior Chalet + Pool Cabin on Sea in Hacienda Red,"Hacienda, North Coast",3 bedrooms,4 bathrooms,190 sqm,"12,000,000 EGP"
142,Villa,Summer Now in your villa in Marina 7 - North Coast,"Marina 7, Marina, Al Alamein, North Coast",5 bedrooms,6 bathrooms,550 sqm,"17,000,000 EGP"
143,Villa,Second row Villa for sale in marassi bay,"Marassi, Sidi Abdel Rahman, North Coast",6 bedrooms,6 bathrooms,700 sqm,"55,000,000 EGP"
144,Apartment,Own your Apartment in District 5 with 10% D.P,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,160 sqm,"3,614,000 EGP"
145,Apartment,Apartment for Sale at ZED Compound at Zayed City,"Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",2 bedrooms,2 bathrooms,97 sqm,"2,991,000 EGP"
146,Hotel Apartment,for sale hotel apartment fully finished,"D-Square, Downtown Area, New Capital City, Cairo",1 bedroom,1 bathroom,69 sqm,"2,147,280 EGP"
147,Villa,villa for sale in mountain view 1,"Mountain View 1, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,3 bathrooms,320 sqm,"7,500,000 EGP"
148,Apartment,apartment with Garden in stone residence new cairo,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,128 sqm,"2,911,000 EGP"
149,Apartment,ready to move // with garden // in installments,"Capital Gardens Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3 bedrooms,3 bathrooms,214 sqm,"5,272,900 EGP"
150,Apartment,Apartment for sale in Elmarasem Delivered Finished,"Fifth Square, North Investors Area, New Cairo City, Cairo",3 bedrooms,2 bathrooms,160 sqm,"3,150,000 EGP"
